id, title, total scorebucket, distinct scorebuckets, total tiles, distinct tiles,% distinct tiles, total actors, distinct actors,% distinct, blank actors,programmed actors, total rules, rules per actor, total pages, pages per actor, random action, random Condition, random rule, not action, not Condition, not rule, tabbed rules, and condition, and action, duplicated conditions, duplicate cond not always, logical or, conditionalIf, statesperactor, obj1state, objt2state, objlinear, objcycle, states2plus, objhighin, objhighout, maxfanin, maxfanout, HCItiles, HCIactors, beforeIndentation, do create, docreate creatable, localrule, localread, localwrite,
da48579a-9008-4fe8-9705-54b4179dcea8, CycleRaceofKodu,0,0,22,9,0.409,4,3,0.750,0,4,6,1.500,4,1.000,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,0,0,0,0,0,0,1,0,2,2,0,0,0,0,0,0, 
ddcb77fd-a077-4a5d-a6d9-f7fcbcf4c1b5, FishyFrenzy(plusrobots)jj,0,0,508,44,0.087,112,12,0.107,58,54,164,3.037,60,1.111,0,0,0,0,0,0,4,0,4,70,0,5,0,2.111111111,54,6,0,6,12,6,0,2,1,14,6,0,0,0,18,7,11, 
c793d25f-b2df-43b2-a53e-8d1dbf0efe66, Survival,0,0,511,42,0.082,37,6,0.162,1,36,129,3.583,42,1.167,2,0,2,0,1,1,0,0,0,20,20,0,0,2.027777778,36,6,5,1,12,1,0,2,1,9,1,0,0,0,35,29,6, 
c9d5fbfb-eec3-4278-944e-2b46564ab731, obstaclesurvivaljjv01,17,6,163,52,0.319,11,4,0.364,2,9,40,4.444,9,1.000,0,0,0,0,0,0,7,3,4,17,14,5,0,2,9,0,0,0,0,0,0,1,0,3,1,0,3,3,14,13,1, 
b13c0dce-313e-41ca-9ac3-4740a8780806, AnAwesomerace,0,0,118,36,0.305,10,8,0.800,0,10,26,2.600,14,1.400,5,0,5,0,0,0,0,0,0,6,6,0,0,2.4,10,2,2,0,6,0,0,1,1,8,3,0,1,0,0,0,0, 
99b109f8-2825-420b-857f-1f6d37625632, mariocartrip-offkkv05,0,0,103,36,0.350,27,6,0.222,20,7,23,3.286,7,1.000,0,0,0,0,0,0,0,0,0,0,0,2,0,2,7,0,0,0,0,0,0,1,0,3,1,0,0,0,1,1,0, 
63b7b9a8-7ba0-42dd-b1cf-3cffe14d79a6, TreasureCollector,1,1,71,41,0.577,47,7,0.149,41,6,22,3.667,10,1.667,1,0,1,0,0,0,3,2,1,0,0,2,0,2,6,1,1,0,5,0,0,1,0,4,1,0,0,0,1,1,0, 
1caade6b-a92f-4757-8681-fb1ddd9a397d, EricGame,21,2,244,51,0.209,38,17,0.447,12,26,60,2.308,26,1.000,0,0,0,0,0,0,1,0,1,14,14,0,0,2,26,0,0,0,0,0,0,1,0,2,1,0,2,2,25,20,5, 
4640df09-1376-4071-8871-f3d309d08d85, area51,0,0,140,34,0.243,26,8,0.308,8,18,29,1.611,19,1.056,1,0,1,0,2,2,0,0,0,5,5,2,0,2.055555556,18,1,1,0,2,0,0,1,1,2,1,0,1,1,3,0,3, 
37a5c3e3-7669-46a7-b55d-4550f1dd3645, roadkillv01,0,0,120,46,0.383,61,14,0.230,45,16,31,1.938,18,1.125,0,0,0,0,0,0,1,0,1,0,0,0,0,2.125,16,1,1,0,3,0,0,1,1,3,2,0,0,0,3,1,2, 
49e06050-09ab-4921-8fe2-ccb24eb8f16f, juliakk,1,1,170,26,0.153,60,4,0.067,0,60,120,2.000,60,1.000,23,0,23,0,0,0,1,0,1,0,0,70,0,2,60,0,0,0,0,0,0,1,0,3,1,0,0,0,2,2,0, 
3a58fba0-3498-4e8e-b20d-6287e2ee640e, KK30Coinsv04,36,2,418,41,0.098,60,5,0.083,13,47,96,2.043,47,1.000,0,0,0,0,0,0,0,0,0,64,64,0,0,2,47,0,0,0,0,0,0,1,0,3,1,0,0,0,2,2,0, 
7034d4a7-b8cb-4842-9833-2071c53396e5, meagain,1,1,54,33,0.611,5,4,0.800,1,4,14,3.500,6,1.500,0,0,0,0,0,0,0,0,0,0,0,0,0,2.5,4,1,1,0,3,0,0,1,1,3,2,0,1,1,1,1,0, 
e580d72f-704d-45de-84b7-8da12ba5bda3, aceracers,0,0,120,21,0.175,23,3,0.130,1,22,28,1.273,22,1.000,1,0,1,0,0,0,0,0,0,0,0,0,0,2,22,0,0,0,0,0,0,1,0,4,1,0,0,0,0,0,0, 
0008f919-a8f7-4fb5-b08d-3e2c5daf6898, themazev01,0,0,90,39,0.433,6,6,1.000,0,6,21,3.500,11,1.833,0,0,0,0,1,1,0,0,0,0,0,0,0,2.833333333,6,2,1,1,7,1,0,2,1,4,1,0,2,2,1,1,0, 
aee460e9-e809-4f4f-97d1-3f303e04418b, seabattle,21,2,237,26,0.110,23,2,0.087,0,23,68,2.957,23,1.000,1,0,1,0,0,0,0,0,0,0,0,0,0,2,23,0,0,0,0,0,0,1,0,4,1,0,0,0,43,42,1, 
28c0f058-fb5d-4903-a3e5-564c376c2f8f, mitchell,0,0,150,27,0.180,21,3,0.143,2,19,28,1.474,19,1.000,10,0,10,0,0,0,0,0,0,0,0,0,0,2,19,0,0,0,0,0,0,1,0,3,1,0,0,0,0,0,0, 
2dcc23ef-dae9-4a35-9a94-eac939bb98c0, MyWorld,0,0,4,4,1.000,1,1,1.000,0,1,1,1.000,1,1.000,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0, 
88c54bab-00be-41ea-9b2b-94510c17cf1f, KKRACINGv05,4,1,88,32,0.364,15,4,0.267,9,6,18,3.000,7,1.167,0,0,0,0,0,0,0,0,0,2,2,6,0,2.166666667,6,1,1,0,2,0,0,1,1,3,1,0,0,0,9,9,0, 
49a7ebb7-281c-4141-bb3d-dea9ffb017c9, Kodu'sKrib,1,1,65,34,0.523,26,13,0.500,16,10,20,2.000,10,1.000,1,0,1,0,0,0,1,0,1,8,0,0,0,2,10,0,0,0,0,0,0,1,0,3,1,0,0,0,2,0,2, 
5e530e31-b544-464e-9ca6-3b5fc89a5c5b, beach,0,0,230,21,0.091,42,8,0.190,1,41,58,1.415,41,1.000,0,0,0,0,0,0,0,0,0,0,0,2,0,2,41,0,0,0,0,0,0,1,0,2,1,0,0,0,1,1,0, 
6745dc47-ff3a-4a1f-976c-251d43b202c9, St.Monavale,21,3,159,40,0.252,30,6,0.200,25,5,35,7.000,9,1.800,0,0,0,0,1,1,11,11,0,8,8,20,0,2.8,5,4,4,0,8,0,0,1,1,0,0,0,0,0,20,20,0, 
a60c4eb0-496f-4467-9aa9-55eca9de322e, Timmy'sWorld,25,1,242,35,0.145,42,10,0.238,7,35,68,1.943,36,1.029,0,0,0,0,0,0,25,0,25,0,0,2,0,2.028571429,35,1,1,0,2,0,0,1,1,4,1,0,1,0,1,1,0, 
60fcd435-4a60-4378-a8f4-b574734eac11, kodu,0,0,229,60,0.262,43,15,0.349,13,30,63,2.100,31,1.033,2,3,5,0,0,0,1,0,1,6,2,0,0,2.033333333,30,1,0,1,2,1,0,2,1,10,1,0,4,4,22,21,2, 
bcb7f0f1-83ab-4791-9f67-eb48ded368f3, Vladbjh,0,0,10,9,0.900,3,3,1.000,1,2,3,1.500,2,1.000,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,1,0,2,1,0,0,0,0,0,0, 
ba50a707-6216-4483-a9bb-e52f6f9ca5d2, racetowhateverkk,12,6,178,62,0.348,11,3,0.273,1,10,40,4.000,10,1.000,3,0,3,0,0,0,6,4,2,8,8,8,0,2,10,0,0,0,0,0,0,1,0,8,2,0,0,0,10,10,4, 
45313ee4-bc47-43e7-b5cf-26749f2e84c3, Journeyofthe3worlds,0,0,535,47,0.088,85,12,0.141,3,82,93,1.134,82,1.000,2,0,2,0,0,0,0,0,0,2,2,0,0,2,82,0,0,0,0,0,0,1,0,6,1,0,2,0,4,2,2, 
c8d2119d-35e7-4bb7-8af9-4f6eec26aee4, ManyWorldsJJByYLv01,14,7,195,62,0.318,38,10,0.263,19,19,47,2.474,21,1.105,0,0,0,0,0,0,4,0,4,9,0,2,0,2.052631579,19,1,0,1,3,2,1,2,2,4,1,0,8,3,18,17,1, 
066a6f75-5b34-4deb-ae5c-bc8464afaa95, WATERSNAKE,2,2,58,38,0.655,13,7,0.538,6,7,17,2.429,7,1.000,1,0,1,0,0,0,5,1,4,0,0,0,0,2,7,0,0,0,0,0,0,1,0,5,2,0,1,1,1,1,0, 
