id, title, total scorebucket, distinct scorebuckets, total tiles, distinct tiles,% distinct tiles, total actors, distinct actors,% distinct, blank actors,programmed actors, total rules, rules per actor, total pages, pages per actor, tabbed rules, objt2state, HCIactors,
da48579a-9008-4fe8-9705-54b4179dcea8, CycleRaceofKodu,0,0,22,9,0.409,4,3,0.750,0,4,6,1.500,4,1.000,0,0,2, 
ddcb77fd-a077-4a5d-a6d9-f7fcbcf4c1b5, FishyFrenzy(plusrobots)jj,0,0,508,44,0.087,112,12,0.107,58,54,164,3.037,60,1.111,4,6,6, 
c793d25f-b2df-43b2-a53e-8d1dbf0efe66, Survival,0,0,511,42,0.082,37,6,0.162,1,36,129,3.583,42,1.167,0,6,1, 
c9d5fbfb-eec3-4278-944e-2b46564ab731, obstaclesurvivaljjv01,17,6,163,52,0.319,11,4,0.364,2,9,40,4.444,9,1.000,7,0,1, 
b13c0dce-313e-41ca-9ac3-4740a8780806, AnAwesomerace,0,0,118,36,0.305,10,8,0.800,0,10,26,2.600,14,1.400,0,2,3, 
99b109f8-2825-420b-857f-1f6d37625632, mariocartrip-offkkv05,0,0,103,36,0.350,27,6,0.222,20,7,23,3.286,7,1.000,0,0,1, 
63b7b9a8-7ba0-42dd-b1cf-3cffe14d79a6, TreasureCollector,1,1,71,41,0.577,47,7,0.149,41,6,22,3.667,10,1.667,3,1,1, 
1caade6b-a92f-4757-8681-fb1ddd9a397d, EricGame,21,2,244,51,0.209,38,17,0.447,12,26,60,2.308,26,1.000,1,0,1, 
4640df09-1376-4071-8871-f3d309d08d85, area51,0,0,140,34,0.243,26,8,0.308,8,18,29,1.611,19,1.056,0,1,1, 
37a5c3e3-7669-46a7-b55d-4550f1dd3645, roadkillv01,0,0,120,46,0.383,61,14,0.230,45,16,31,1.938,18,1.125,1,1,2, 
49e06050-09ab-4921-8fe2-ccb24eb8f16f, juliakk,1,1,170,26,0.153,60,4,0.067,0,60,120,2.000,60,1.000,1,0,1, 
3a58fba0-3498-4e8e-b20d-6287e2ee640e, KK30Coinsv04,36,2,418,41,0.098,60,5,0.083,13,47,96,2.043,47,1.000,0,0,1, 
7034d4a7-b8cb-4842-9833-2071c53396e5, meagain,1,1,54,33,0.611,5,4,0.800,1,4,14,3.500,6,1.500,0,1,2, 
e580d72f-704d-45de-84b7-8da12ba5bda3, aceracers,0,0,120,21,0.175,23,3,0.130,1,22,28,1.273,22,1.000,0,0,1, 
0008f919-a8f7-4fb5-b08d-3e2c5daf6898, themazev01,0,0,90,39,0.433,6,6,1.000,0,6,21,3.500,11,1.833,0,2,1, 
aee460e9-e809-4f4f-97d1-3f303e04418b, seabattle,21,2,237,26,0.110,23,2,0.087,0,23,68,2.957,23,1.000,0,0,1, 
28c0f058-fb5d-4903-a3e5-564c376c2f8f, mitchell,0,0,150,27,0.180,21,3,0.143,2,19,28,1.474,19,1.000,0,0,1, 
2dcc23ef-dae9-4a35-9a94-eac939bb98c0, MyWorld,0,0,4,4,1.000,1,1,1.000,0,1,1,1.000,1,1.000,0,0,0, 
88c54bab-00be-41ea-9b2b-94510c17cf1f, KKRACINGv05,4,1,88,32,0.364,15,4,0.267,9,6,18,3.000,7,1.167,0,1,1, 
49a7ebb7-281c-4141-bb3d-dea9ffb017c9, Kodu'sKrib,1,1,65,34,0.523,26,13,0.500,16,10,20,2.000,10,1.000,1,0,1, 
5e530e31-b544-464e-9ca6-3b5fc89a5c5b, beach,0,0,230,21,0.091,42,8,0.190,1,41,58,1.415,41,1.000,0,0,1, 
6745dc47-ff3a-4a1f-976c-251d43b202c9, St.Monavale,21,3,159,40,0.252,30,6,0.200,25,5,35,7.000,9,1.800,11,4,0, 
a60c4eb0-496f-4467-9aa9-55eca9de322e, Timmy'sWorld,25,1,242,35,0.145,42,10,0.238,7,35,68,1.943,36,1.029,25,1,1, 
60fcd435-4a60-4378-a8f4-b574734eac11, kodu,0,0,229,60,0.262,43,15,0.349,13,30,63,2.100,31,1.033,1,1,1, 
bcb7f0f1-83ab-4791-9f67-eb48ded368f3, Vladbjh,0,0,10,9,0.900,3,3,1.000,1,2,3,1.500,2,1.000,0,0,1, 
ba50a707-6216-4483-a9bb-e52f6f9ca5d2, racetowhateverkk,12,6,178,62,0.348,11,3,0.273,1,10,40,4.000,10,1.000,6,0,2, 
45313ee4-bc47-43e7-b5cf-26749f2e84c3, Journeyofthe3worlds,0,0,535,47,0.088,85,12,0.141,3,82,93,1.134,82,1.000,0,0,1, 
c8d2119d-35e7-4bb7-8af9-4f6eec26aee4, ManyWorldsJJByYLv01,14,7,195,62,0.318,38,10,0.263,19,19,47,2.474,21,1.105,4,1,1, 
066a6f75-5b34-4deb-ae5c-bc8464afaa95, WATERSNAKE,2,2,58,38,0.655,13,7,0.538,6,7,17,2.429,7,1.000,5,0,2, 
