author, date, game, actorCount, ruleCount, indentCount, notCount, fromCreatable, 
KoduUser, 8/18/2010 2:05:21 PM, da48579a-9008-4fe8-9705-54b4179dcea8, 4, 6, 0, 0, 0, 
KoduUser, 8/19/2010 9:37:52 AM, ddcb77fd-a077-4a5d-a6d9-f7fcbcf4c1b5, 112, 164, 4, 0, 38, 
KoduUser, 8/18/2010 2:07:46 PM, c793d25f-b2df-43b2-a53e-8d1dbf0efe66, 37, 129, 0, 1, 34, 
KoduUser, 8/19/2010 10:01:56 AM, c9d5fbfb-eec3-4278-944e-2b46564ab731, 11, 40, 7, 0, 0, 
KoduUser, 8/19/2010 9:57:08 AM, b13c0dce-313e-41ca-9ac3-4740a8780806, 10, 26, 0, 0, 0, 
KoduUser, 8/18/2010 2:02:32 PM, 99b109f8-2825-420b-857f-1f6d37625632, 28, 23, 0, 0, 0, 
KoduUser, 8/18/2010 2:06:05 PM, 63b7b9a8-7ba0-42dd-b1cf-3cffe14d79a6, 57, 22, 3, 0, 24, 
KoduUser, 8/18/2010 12:05:48 PM, 1caade6b-a92f-4757-8681-fb1ddd9a397d, 39, 60, 1, 0, 0, 
Administrator, 8/18/2010 1:53:15 PM, 4640df09-1376-4071-8871-f3d309d08d85, 26, 29, 0, 2, 0, 
KoduUser, 8/19/2010 10:15:49 AM, 37a5c3e3-7669-46a7-b55d-4550f1dd3645, 62, 31, 1, 0, 0, 
KoduUser, 8/18/2010 1:30:41 PM, 49e06050-09ab-4921-8fe2-ccb24eb8f16f, 60, 120, 1, 0, 58, 
KoduUser, 8/18/2010 1:57:54 PM, 3a58fba0-3498-4e8e-b20d-6287e2ee640e, 60, 96, 0, 0, 0, 
KoduUser, 8/19/2010 9:08:11 AM, 7034d4a7-b8cb-4842-9833-2071c53396e5, 5, 14, 0, 0, 0, 
Administrator, 8/17/2010 3:59:09 PM, e580d72f-704d-45de-84b7-8da12ba5bda3, 23, 28, 0, 0, 0, 
KoduUser, 8/18/2010 2:07:21 PM, 0008f919-a8f7-4fb5-b08d-3e2c5daf6898, 6, 21, 0, 1, 0, 
Administrator, 8/18/2010 1:54:16 PM, aee460e9-e809-4f4f-97d1-3f303e04418b, 23, 68, 0, 0, 20, 
KoduUser, 8/18/2010 2:13:55 PM, 28c0f058-fb5d-4903-a3e5-564c376c2f8f, 21, 28, 0, 0, 10, 
raschiff, 7/9/2010 9:10:15 AM, 2dcc23ef-dae9-4a35-9a94-eac939bb98c0, 1, 1, 0, 0, 0, 
Administrator, 8/18/2010 1:44:34 PM, 88c54bab-00be-41ea-9b2b-94510c17cf1f, 15, 18, 0, 0, 0, 
Administrator, 8/19/2010 9:43:24 AM, 49a7ebb7-281c-4141-bb3d-dea9ffb017c9, 26, 20, 1, 0, 0, 
Administrator, 8/19/2010 10:00:14 AM, 5e530e31-b544-464e-9ca6-3b5fc89a5c5b, 42, 58, 0, 0, 0, 
Administrator, 8/19/2010 10:19:55 AM, 6745dc47-ff3a-4a1f-976c-251d43b202c9, 36, 35, 11, 1, 0, 
Administrator, 8/19/2010 10:06:22 AM, a60c4eb0-496f-4467-9aa9-55eca9de322e, 42, 68, 25, 0, 19, 
KoduUser, 8/18/2010 1:57:06 PM, 60fcd435-4a60-4378-a8f4-b574734eac11, 45, 63, 1, 0, 12, 
Administrator, 8/18/2010 1:56:11 PM, bcb7f0f1-83ab-4791-9f67-eb48ded368f3, 6, 3, 0, 0, 0, 
KoduUser, 8/18/2010 2:14:51 PM, ba50a707-6216-4483-a9bb-e52f6f9ca5d2, 11, 40, 6, 0, 5, 
KoduUser, 8/19/2010 9:51:07 AM, 45313ee4-bc47-43e7-b5cf-26749f2e84c3, 85, 93, 0, 0, 0, 
Administrator, 8/19/2010 10:17:54 AM, c8d2119d-35e7-4bb7-8af9-4f6eec26aee4, 43, 47, 4, 0, 0, 
Administrator, 8/19/2010 10:18:33 AM, 066a6f75-5b34-4deb-ae5c-bc8464afaa95, 17, 17, 5, 0, 0, 
