Actor = Tree 76, Rules = 0
Actor = Tree 65, Rules = 0
Actor = Tree 15, Rules = 0
Actor = Cycle 6, Rules = 3
Actor = Tree 22, Rules = 0
Actor = Tree 29, Rules = 0
Actor = Tree 77, Rules = 0
Actor = Tree 61, Rules = 0
Actor = Tree 14, Rules = 0
Actor = Tree 16, Rules = 0
Actor = Tree 19, Rules = 0
Actor = Tree 23, Rules = 0
Actor = Tree 74, Rules = 0
Actor = Tree 4, Rules = 0
Actor = Tree 27, Rules = 0
Actor = Cycle 7, Rules = 3
Actor = Tree 12, Rules = 0
Actor = Tree 60, Rules = 0
Actor = Tree 47, Rules = 0
Actor = Tree 20, Rules = 0
Actor = Kodu 1, Rules = 6
Actor = Tree 57, Rules = 0
Actor = Tree 75, Rules = 0
Actor = Tree 37, Rules = 0
Actor = Tree 55, Rules = 0
Actor = Tree 24, Rules = 0
Actor = Tree 69, Rules = 0
Actor = Tree 26, Rules = 0
Actor = Cycle 4, Rules = 3
Actor = Tree 54, Rules = 0
Actor = Tree 72, Rules = 0
Actor = Tree 73, Rules = 0
Actor = Tree 68, Rules = 0
Actor = Tree 59, Rules = 0
Actor = Tree 32, Rules = 0
Actor = Tree 66, Rules = 0
Actor = Tree 8, Rules = 0
Actor = Tree 71, Rules = 0
Actor = Tree 13, Rules = 0
Actor = Tree 17, Rules = 0
Actor = Tree 18, Rules = 0
Actor = Tree 40, Rules = 0
Actor = Cycle 5, Rules = 3
Actor = Tree 31, Rules = 0
Actor = Cycle 8, Rules = 3
Actor = Tree 64, Rules = 0
Actor = Tree 49, Rules = 0
Actor = Tree 41, Rules = 0
Actor = Tree 56, Rules = 0
Actor = Tree 2, Rules = 0
Actor = Tree 42, Rules = 0
Actor = Tree 62, Rules = 0
Actor = Tree 48, Rules = 0
Actor = Tree 44, Rules = 0
Actor = Cycle 3, Rules = 3
Actor = Tree 5, Rules = 0
Actor = Hut 1, Rules = 0
Actor = Tree 58, Rules = 0
Actor = Tree 53, Rules = 0
Actor = Tree 11, Rules = 0
Actor = Tree 6, Rules = 0
Actor = Tree 63, Rules = 0
Actor = Tree 70, Rules = 0
Actor = Tree 9, Rules = 0
Actor = Cycle 2, Rules = 3
Actor = Tree 25, Rules = 0
Actor = Tree 1, Rules = 0
Actor = Tree 10, Rules = 0
Actor = Cycle 1, Rules = 3
Actor = Tree 67, Rules = 0
Actor = Tree 7, Rules = 0
Actor = Tree 43, Rules = 0
Actor = Tree 39, Rules = 0
Actor = Tree 38, Rules = 0
Actor = Tree 36, Rules = 0
Actor = Tree 28, Rules = 0
Number of Actors = 76
Number of BlankActors = 67
Number of Rules = 30
Rules Per Actor (all) = 0.39
Rules Per Actor (populated) = 3.33
